Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
0,0.000000,2823
1,0.000156,2312
2,0.000313,2311
3,0.000469,1800
4,0.000625,775
5,0.000781,775
6,0.000937,2056
7,0.001094,3335
8,0.001250,2823
9,0.001406,2311
10,0.001563,1288
11,0.001719,1287
12,0.001875,1031
13,0.002031,3335
14,0.002188,3848
15,0.002344,3334
16,0.002500,3335
17,0.002656,1287
18,0.002812,2823
19,0.002969,1287
20,0.003125,3335
21,0.003281,1288
22,0.003438,1032
23,0.003594,3079
24,0.003750,1800
25,0.003906,1800
26,0.004063,2824
27,0.004219,2312
28,0.004375,1287
29,0.004531,2311
30,0.004687,1288
31,0.004844,519
32,0.005000,2311
33,0.005156,3336
34,0.005313,2311
35,0.005469,2567
36,0.005625,1288
37,0.005781,1287
38,0.005938,1287
39,0.006094,2311
40,0.006250,1799
41,0.006406,3336
42,0.006562,2312
43,0.006719,3335
44,0.006875,1032
45,0.007031,3335
46,0.007188,3336
47,0.007344,3335
48,0.007500,2311
49,0.007656,2311
50,0.007812,2311
51,0.007969,2312
52,0.008125,2311
53,0.008281,2312
54,0.008438,2312
55,0.008594,1031
56,0.008750,3079
57,0.008906,2823
58,0.009062,776
59,0.009219,2055
60,0.009375,3080
61,0.009531,1287
62,0.009687,3079
63,0.009844,3336
64,0.010000,2823
65,0.010156,1287
66,0.010313,1287
67,0.010469,2311
68,0.010625,2824
69,0.010781,1031
70,0.010937,775
71,0.011094,1031
72,0.011250,3848
73,0.011406,3336
74,0.011562,2311
75,0.011719,3847
76,0.011875,1287
77,0.012031,1287
78,0.012188,3848
79,0.012344,1799
80,0.012500,2311
81,0.012656,3591
82,0.012812,775
83,0.012969,265
84,0.013125,3848
85,0.013281,3080
86,0.013437,2823
87,0.013594,2311
88,0.013750,2823
89,0.013906,1799
90,0.014063,1031
91,0.014219,3335
92,0.014375,2312
93,0.014531,1287
94,0.014687,3079
95,0.014844,3335
96,0.015000,1031
97,0.015156,775
98,0.015312,1031
99,0.015469,3079
100,0.015625,3847
101,0.015781,1288
102,0.015938,3335
103,0.016094,3847
104,0.016250,775
105,0.016406,2823
106,0.016563,2311
107,0.016719,3080
108,0.016875,1799
109,0.017031,2055
110,0.017188,2312
111,0.017344,1287
112,0.017500,3846
